DLF - 7/8,FBG Overall - 7/8,Bloom 7/8
"Newton, Cam","Luck, Andrew","Newton, Cam"
"Luck, Andrew","Newton, Cam","Luck, Andrew"
"Rodgers, Aaron","Rodgers, Aaron","Rodgers, Aaron"
"Wilson, Russell","Wilson, Russell","Wilson, Russell"
"Mariota, Marcus","Winston, Jameis","Roethlisberger, Ben"
"Winston, Jameis","Roethlisberger, Ben","Brees, Drew"
"Roethlisberger, Ben","Mariota, Marcus","Brady, Tom"
"Carr, Derek","Bortles, Blake","Stafford, Matthew"
"Bortles, Blake","Carr, Derek","Winston, Jameis"
"Rivers, Philip","Brees, Drew","Bortles, Blake"
"Ryan, Matt","Rivers, Philip","Mariota, Marcus"
"Dalton, Andy","Stafford, Matthew","Bridgewater, Teddy"
"Brady, Tom","Brady, Tom","Rivers, Philip"
"Brees, Drew","Dalton, Andy","Manning, Eli"
"Tannehill, Ryan","Bridgewater, Teddy","Palmer, Carson"
"Stafford, Matthew","Ryan, Matt","Cousins, Kirk"
"Cousins, Kirk","Tannehill, Ryan","Dalton, Andy"
"Bridgewater, Teddy","Goff, Jared","Carr, Derek"
"Palmer, Carson","Wentz, Carson","Tannehill, Ryan"
"Goff, Jared","Palmer, Carson","Ryan, Matt"
"Manning, Eli","Manning, Eli","Cutler, Jay"
"Taylor, Tyrod","Lynch, Paxton","Romo, Tony"
"Wentz, Carson","Cousins, Kirk","Taylor, Tyrod"
"Lynch, Paxton","Romo, Tony","Goff, Jared"
"Romo, Tony","Cutler, Jay","Lynch, Paxton"
"Flacco, Joe","Osweiler, Brock","Jones, Cardale"
"Cutler, Jay","Taylor, Tyrod","Wentz, Carson"
"Osweiler, Brock","Flacco, Joe","Griffin III, Robert"
"Smith, Alex","Griffin III, Robert","Flacco, Joe"
"Griffin III, Robert","Smith, Alex","Smith, Alex"
"Kaepernick, Colin","Kaepernick, Colin","Kaepernick, Colin"
"Bradford, Sam","Bradford, Sam","Fitzpatrick, Ryan"
"Fitzpatrick, Ryan","Fitzpatrick, Ryan","Osweiler, Brock"
"Garoppolo, Jimmy","Garoppolo, Jimmy","Bradford, Sam"
"Sanchez, Mark","Jones, Cardale","Hundley, Brett"
"Jones, Cardale","Hackenberg, Christian","Glennon, Mike"
"Gabbert, Blaine","Gabbert, Blaine","Garoppolo, Jimmy"
"Hackenberg, Christian","Glennon, Mike","Prescott, Dak"
"Smith, Geno","Kessler, Cody","Hackenberg, Christian"
"Kessler, Cody","Smith, Geno","Gabbert, Blaine"
"Grayson, Garrett","Sanchez, Mark","Smith, Geno"
"Hoyer, Brian","Hundley, Brett","McCown, Josh"
"Glennon, Mike","McCarron, A.J.","Sanchez, Mark"
"Hundley, Brett","Grayson, Garrett","Kessler, Cody"
"Prescott, Dak","Prescott, Dak","Grayson, Garrett"
"McCarron, AJ","Foles, Nick","Cook, Connor"
"Daniel, Chase","Cook, Connor","Brissett, Jacoby"
"McCown, Josh","Brissett, Jacoby","Daniel, Chase"
"Cook, Connor","Hoyer, Brian","Foles, Nick"
"Mettenberger, Zach","Manziel, Johnny","Mallett, Ryan"
,"Mallett, Ryan",
,"Keenum, Case",
,"Daniel, Chase",
,"Nassib, Ryan",
,"Stanton, Drew",
,"McCown, Josh",
,"Petty, Bryce",
,"Bercovici, Mike",
,"McCown, Luke",
,"Murray, Aaron",
,"Henne, Chad",
,"Mettenberger, Zach",
,"Manuel, EJ",
,"Moore, Matt",
,"Mannion, Sean",
