"Beckham, Odell",,,,
"Jones, Julio",,,,
"Brown, Antonio",,,,
"Robinson, Allen",,,,
"Hopkins, DeAndre",,,,
"Cooper, Amari",,,,
"Watkins, Sammy",,,,
"Evans, Mike",,,,
"Allen, Keenan",,,,
,,,,
"Green, AJ",,"Luck, Andrew",,
"Jeffery, Alshon",,"Newton, Cam",,
"Bryant, Dez",,"Wilson, Russell",,
,,,,
"Hilton, TY","Gurley, Todd","Rodgers, Aaron","Gronkowski, Rob",
"Moncrief, Donte","Elliott, Ezekiel",,,
"Treadwell, Laquon","Bell, LeVeon",,,
"White, Kevin",,,,
"Cobb, Randall",,,,
"Cooks, Brandin",,,,
,,,,
"Coleman, Corey",,"Winston, Jameis",,
"Lockett, Tyler",,"Mariota, Marcus",,
"Doctson, Josh",,,,
,,,,
"Thomas, Demaryius",,"Roethlisberger, Ben",,
"Parker, Devante",,,,
"Benjamin, Kelvin",,,,
"Landry, Jarvis",,,,
"Floyd, Michael",,,,
"Brown, John",,,,
,,,,
"Green-Beckham, Dorial","Johnson, David","Bortles, Blake","Reed, Jordan",
"Shepard, Sterling","Miller, Lamar","Brees, Drew","Eifert, Tyler",
"Bryant, Martavis",,"Carr, Derek",,
,,,,
"Nelson, Jordy","Lacy, Eddie","Stafford, Matthew",,
"Matthews, Jordan","Freeman, Devonta","Ryan, Matt",,
"Thomas, Michael","Ingram, Mark","Rivers, Philip",,
"Perriman, Breshad",,"Tannehill, Ryan",,
"Funchess, Devin",,"Manning, Eli",,
,,"Wentz, Carson",,
,,"Lynch, Paxton",,
,,"Goff, Jared",,
,,,,
"Tate, Golden","Rawls, Thomas","Brady, Tom","Kelce, Travis","Kuechly, Luke"
"Maclin, Jeremy","Martin, Doug","Dalton, Andy","Green, Ladarius","David, Lavonte"
"Decker, Eric","Hyde, Carlos","Bridgewater, Teddy",,
"Baldwin, Doug","Ajayi, Jay",,,
"Hurns, Allen","Lewis, Dion",,,
,"Bernard, Giovani",,,
,,,,
"Aiken, Kamar","Yeldon, T.J.","Cousins, Kirk","Allen, Dwayne","Moseley, C.J."
"Diggs, Stefon","Henry, Derrick","Romo, Tony","Thomas, Julius","Smith, Telvin"
"Fuller, Will","Anderson, C.J.","Palmer, Carson","Ebron, Eric",
"Snead, Willie",,"Cutler, Jay","Fleener, Coby",
"Carroo, Leonte",,"Flacco, Joe",,
"Gordon, Josh",,,,
,,,,
"Coates, Sammie","Johnson, Duke","Taylor, Tyrod","Olsen, Greg","Collins, Jamie"
"Crowder, Jamison",,"Smith, Alex","Bennett, Martellus","Ogletree, Alec"
"Jones, Marvin",,"Osweiler, Brock","Ertz, Zach","Burfict, Vontaze"
"Dorsett, Phillip",,,"Seferian-Jenkins, Austin","Wagner, Bobby"
"Jackson, DeSean",,,,"Perryman, Denzel"
"Smith, Torrey",,,,"Kendricks, Eric"
,,,,
"Fitzgerald, Larry","Charles, Jamaal",,"Barnidge, Gary","Jackson, DQwell"
"Sanders, Emmanuel","Peterson, Adrian",,"Walford, Clive","Alonso, Kiko"
"Marshall, Brandon","McCoy, LeSean",,,"Lee, Sean"
"Edelman, Julian","Hill, Jeremy",,,
,,,,
,"Abdullah, Ameer",,"Walker, Delanie","Bowman, Navorro"
"Agholor, Nelson","Prosise, C.J.",,"Gates, Antonio","Levy, DeAndre"
,,,"Henry, Hunter","Bucannon, Deone"
,,,"Hooper, Austin","Timmons, Lawrence"
,,,,"Trevathan, Danny"
,,,,
"Crabtree, Michael","Gordon, Melvin",,,
"Austin, Tavon","Jones, Matt",,,
"Mitchell, Malcolm","Dixon, Kenneth",,,
"Strong, Jaelen","Booker, Devontae",,,
"Sanu, Mohamed","McKinnon, Jerick",,,
,,,,
,"Murray, Latavius","Garoppolo, Jimmy",,
,"Crowell, Isaiah","Gabbert, Blaine",,
,"Sims, Charles",,,
,,,,
,"Mathews, Ryan","Bradford, Sam","Heuerman, Jeff",
,"Woodhead, Danny",Griffin Robert,"Cook, Jared",
,"Williams, Karlos","Sanchez, Mark",,
,"Ivory, Chris",Fitzpatrick Ryan,,
,"Washington, DeAndre","Smith, Geno",,
,"Howard, Jordan",,,
,"Perkins, Paul",,,
,,,,
"Benjamin, Travis","Coleman, Tevin","Grayson, Garrett","Tye, Will",
"Wright, Kendall","Langford, Jeremy","Jones, Cardale","Amaro, Jace",
"Adams, Davante","Williams, Jonathan",,"Gillmore, Crockett",
"Conley, Chris","Allen, Javorius",,"Cameron, Jordan",
,"Zenner, Zach",,"Williams, Maxx",
,"Smallwood, Wendell",,"Clay, Charles",
,"Murray, DeMarco",,"Brate, Cameron",
,"West, Charcandrick",,,
,,,,
"Wheaton, Markus","Forte, Matt","Kaepernick, Colin","Graham, Jimmy","Johnson, Derrick"
"Matthews, Rishard","Stewart, Jonathan","Glennon, Mike","Rudolph, Kyle",
"Cooper, Pharoh","Gore, Frank","Hackenberg, Christian","McDonald, Vance",
"Miller, Braxton","Riddick, Theo","Hundley, Brett","Higbee, Tyler",
"Garcon, Pierre","Marshall, Keith","Kessler, Cody","Miller, Zach",
"Janis, Jeff","Drake, Kenyan","Prescott, Dak","Witten, Jason",
"Bell, Kenny","Powell, Bilal","McCarron, A.J.","DeValve, Seth",
"Randle, Rueben","Blount, LeGarrette","Brissett, Jacoby","Kroft, Tyler",
"Montgomery, Ty","Ellington, Andre","Cook, Connor","Pruitt, MyCole",
"Stills, Kenny","Williams, DeAngelo","Foles, Nick","Green, Virgil",
"Jackson, Vincent","Starks, James","Keenum, Case","Fells, Darren",
"Smith, Devin","Forsett, Justin","Nassib, Ryan","Swoope, Erik",
"Smelter, DeAndre","Jennings, Rashad","McCown, Josh","Kendricks, Lance",
"Johnson, Steve","Ervin, Tyler","Daniel, Chase","Donnell, Larry",
"Wallace, Mike","Ware, Spencer","Hoyer, Brian","Rodgers, Richard",
"Sharpe, Tajae","Vereen, Shane","Mallett, Ryan","Harris, Demetrius",
"Latimer, Cody","Spiller, C.J.","Bercovici, Mike","OShaughnessy, James",
"Higgins, Rashard","Foster, Arian","McCown, Luke","Duarte, Thomas",
"Thomas, Mike","Artis-Payne, Cameron","Henne, Chad","Waller, Darren",
"Moore, Chris","Davis, Mike","Moore, Matt","Bibbs, E.J.",
"Hardy, Justin","Thompson, Chris","Manuel, EJ","Anderson, Stephen",
"Woods, Robert","Ferguson, Josh","Mannion, Sean","Braunecker, Ben",
"Lee, Marqise","Michael, Christine",,,
"Amendola, Danny","Carey, KaDeem",,,
"Williams, Terrance","White, James",,,
"Louis, Ricardo","Johnson, Chris",,,
"LaFell, Brandon","Collins, Alex",,,
"Roberts, Seth","Mason, Tre",,,
"Coleman, Brandon","Morris, Alfred",,,
"Cruz, Victor","Ridley, Stevan",,,
"Johnson, Calvin","Sproles, Darren",,,
"Peake, Charone","Cobb, David",,,
"Quick, Brian","McFadden, Darren",,,
"Boyd, Tyler","Lasco, Daniel",,,
,"Robinson, Khiry",,,
,"Oliver, Branden",,,
,"Watson, Terrell",,,
,"Blue, Alfred",,,
,"Turbin, Robert",,,
,"Hillman, Ronnie",,,
,"Dunbar, Lance",,,
,"Brown, Malcolm",,,
,"Barber, Peyton",,,
